JUDET; Numar total someri ; Numar total someri femei  ; Numar total someri barbati  ; Numar  someri indemnizati  ; Numar someri neindemnizati ;  Rata somajului (%)  ;  Rata somajului Feminina (%)  ;  Rata somajului Masculina (%)  ;
ALBA ; 5.613     ; 2.694     ; 2.919     ; 1.792     ; 3.821     ; 3,65     ; 3,81     ; 3,52     ;
ARAD; 3.467     ; 1.741     ; 1.726     ; 1.243     ; 2.224     ; 1,80     ; 2,07     ; 1,59     ;
ARGES; 8.858     ; 4.129     ; 4.729     ; 2.092     ; 6.766     ; 3,82     ; 3,82     ; 3,83     ;
BACAU; 4.140     ; 1.912     ; 2.228     ; 1.593     ; 2.547     ; 2,20     ; 2,35     ; 2,08     ;
BIHOR; 5.773     ; 2.857     ; 2.916     ; 2.112     ; 3.661     ; 2,44     ; 2,72     ; 2,22     ;
BISTRITA NASAUD; 4.047     ; 1.936     ; 2.111     ; 1.796     ; 2.251     ; 3,58     ; 3,94     ; 3,29     ;
BOTOSANI; 4.971     ; 2.091     ; 2.880     ; 1.066     ; 3.905     ; 4,52     ; 4,12     ; 4,86     ;
BRAILA; 5.420     ; 2.376     ; 3.044     ; 972     ; 4.448     ; 5,02     ; 4,81     ; 5,20     ;
BRASOV; 7.054     ; 3.089     ; 3.965     ; 1.025     ; 6.029     ; 2,73     ; 2,79     ; 2,68     ;
BUZAU; 7.166     ; 3.177     ; 3.989     ; 1.507     ; 5.659     ; 5,00     ; 4,90     ; 5,08     ;
CALARASI; 4.744     ; 2.288     ; 2.456     ; 551     ; 4.193     ; 6,22     ; 6,46     ; 6,00     ;
CARA?-SEVERIN; 3.361     ; 1.561     ; 1.800     ; 1.256     ; 2.105     ; 3,68     ; 4,09     ; 3,38     ;
CLUJ; 5.206     ; 2.586     ; 2.620     ; 1.394     ; 3.812     ; 1,45     ; 1,64     ; 1,30     ;
CONSTANTA; 6.469     ; 3.931     ; 2.538     ; 2.943     ; 3.526     ; 2,34     ; 3,23     ; 1,64     ;
COVASNA; 4.068     ; 1.849     ; 2.219     ; 776     ; 3.292     ; 5,14     ; 5,12     ; 5,15     ;
DAMBOVITA; 6.363     ; 3.028     ; 3.335     ; 1.284     ; 5.079     ; 3,90     ; 4,45     ; 3,51     ;
DOLJ; 20.824     ; 9.509     ; 11.315     ; 1.959     ; 18.865     ; 9,06     ; 9,32     ; 8,85     ;
GALATI; 10.319     ; 4.251     ; 6.068     ; 1.433     ; 8.886     ; 6,22     ; 5,60     ; 6,74     ;
GIURGIU; 1.949     ; 972     ; 977     ; 404     ; 1.545     ; 2,88     ; 3,24     ; 2,60     ;
GORJ; 4.906     ; 2.559     ; 2.347     ; 1.502     ; 3.404     ; 4,14     ; 4,74     ; 3,63     ;
HARGHITA; 6.811     ; 3.253     ; 3.558     ; 1.916     ; 4.895     ; 5,67     ; 6,40     ; 5,13     ;
HUNEDOARA; 6.936     ; 3.828     ; 3.108     ; 1.951     ; 4.985     ; 4,53     ; 5,33     ; 3,82     ;
IALOMITA; 4.815     ; 2.140     ; 2.675     ; 954     ; 3.861     ; 6,15     ; 6,20     ; 6,11     ;
IASI; 10.528     ; 4.773     ; 5.755     ; 1.519     ; 9.009     ; 3,81     ; 3,77     ; 3,83     ;
ILFOV; 802     ; 491     ; 311     ; 387     ; 415     ; 0,37     ; 0,54     ; 0,25     ;
MARAMURES; 4.460     ; 2.227     ; 2.233     ; 1.775     ; 2.685     ; 2,53     ; 2,80     ; 2,31     ;
MEHEDINTI; 7.406     ; 3.209     ; 4.197     ; 955     ; 6.451     ; 8,80     ; 8,51     ; 9,03     ;
MUN. BUC.; 8.403     ; 4.815     ; 3.588     ; 1.614     ; 6.789     ; 0,66     ; 0,75     ; 0,58     ;
MURES; 6.461     ; 2.960     ; 3.501     ; 1.449     ; 5.012     ; 3,09     ; 3,27     ; 2,95     ;
NEAMT; 8.926     ; 3.784     ; 5.142     ; 1.602     ; 7.324     ; 5,88     ; 5,63     ; 6,08     ;
OLT; 7.320     ; 3.209     ; 4.111     ; 1.186     ; 6.134     ; 5,62     ; 5,56     ; 5,66     ;
PRAHOVA; 6.644     ; 3.391     ; 3.253     ; 2.574     ; 4.070     ; 2,49     ; 3,03     ; 2,10     ;
SALAJ; 5.657     ; 2.433     ; 3.224     ; 914     ; 4.743     ; 6,26     ; 6,27     ; 6,25     ;
SATU MARE; 6.593     ; 3.109     ; 3.484     ; 828     ; 5.765     ; 5,14     ; 5,29     ; 5,02     ;
SIBIU; 5.922     ; 2.724     ; 3.198     ; 1.223     ; 4.699     ; 3,12     ; 3,30     ; 2,97     ;
SUCEAVA; 13.277     ; 5.558     ; 7.719     ; 3.225     ; 10.052     ; 6,78     ; 6,32     ; 7,15     ;
TELEORMAN; 10.617     ; 4.239     ; 6.378     ; 1.326     ; 9.291     ; 9,88     ; 8,49     ; 11,07     ;
TIMIS; 3.557     ; 1.925     ; 1.632     ; 1.928     ; 1.629     ; 1,06     ; 1,32     ; 0,86     ;
TULCEA; 2.780     ; 1.368     ; 1.412     ; 872     ; 1.908     ; 3,83     ; 4,10     ; 3,61     ;
VALCEA; 3.924     ; 1.947     ; 1.977     ; 1.596     ; 2.328     ; 2,79     ; 3,09     ; 2,54     ;
VASLUI; 10.182     ; 4.202     ; 5.980     ; 1.274     ; 8.908     ; 9,49     ; 8,22     ; 10,64     ;
VRANCEA; 2.426     ; 1.190     ; 1.236     ; 739     ; 1.687     ; 2,16     ; 2,32     ; 2,03     ;
Total ; 269.165     ; 125.311     ; 143.854     ; 60.507     ; 208.658     ; 3,38     ; 3,46     ; 3,30     ;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
